Designator,Mid X,Mid Y,Rotation,Layer
MX35,118.665,-92.7102,0.0,bottom
MX36,142.4775,-92.7102,0.0,bottom
MX37,161.5275,-92.7102,0.0,bottom
MX38,180.5775,-92.7102,0.0,bottom
MX39,199.6275,-92.7102,0.0,bottom
MX4,190.1025,-49.8473,0.0,bottom
MX40,218.6775,-92.7102,0.0,bottom
MX41,237.7275,-92.7102,0.0,bottom
MX42,256.7775,-92.7102,0.0,bottom
MX43,275.8275,-92.7102,0.0,bottom
MX44,294.8775,-92.7102,0.0,bottom
MX45,313.9275,-92.7102,0.0,bottom
MX46,332.9775,-92.7102,0.0,bottom
MX47,352.0275,-92.7102,0.0,bottom
MX48,375.84,-92.7102,0.0,bottom
MX49,404.415,-92.7102,0.0,bottom
MX5,209.1525,-49.8473,0.0,bottom
MX50,423.465,-92.7102,0.0,bottom
MX51,442.515,-92.7102,0.0,bottom
MX52,121.04625,-111.7602,180.0,bottom
MX53,116.28375,-111.7602,0.0,bottom
MX54,147.24,-111.7602,0.0,bottom
MX55,166.29,-111.7602,0.0,bottom
MX56,185.34,-111.7602,0.0,bottom
MX57,204.39,-111.7602,0.0,bottom
MX58,223.44,-111.7602,0.0,bottom
MX59,242.49,-111.7602,0.0,bottom
MX6,237.7275,-49.8473,0.0,bottom
MX60,261.54,-111.7602,0.0,bottom
MX61,280.59,-111.7602,0.0,bottom
MX62,299.64,-111.7602,0.0,bottom
MX63,318.69,-111.7602,0.0,bottom
MX64,337.74,-111.7602,0.0,bottom
MX65,368.69625,-111.7602,0.0,bottom
MX66,125.80875,-130.8102,0.0,bottom
MX67,156.765,-130.8102,0.0,bottom
MX68,175.815,-130.8102,0.0,bottom
MX69,194.865,-130.8102,0.0,bottom
MX7,256.7775,-49.8473,0.0,bottom
MX70,213.915,-130.8102,0.0,bottom
MX71,232.965,-130.8102,0.0,bottom
MX72,252.015,-130.8102,0.0,bottom
MX73,271.065,-130.8102,0.0,bottom
MX74,290.115,-130.8102,0.0,bottom
MX75,309.165,-130.8102,0.0,bottom
MX76,328.215,-130.8102,0.0,bottom
MX77,363.93375,-130.8102,0.0,bottom
MX78,423.465,-130.8102,0.0,bottom
MX79,116.28375,-149.8602,0.0,bottom
MX8,275.8275,-49.8473,0.0,bottom
MX80,140.09625,-149.8602,0.0,bottom
MX81,163.90875,-149.8602,0.0,bottom
MX82,235.34625,-149.8602,0.0,bottom
MX83,306.78375,-149.8602,0.0,bottom
MX84,330.59625,-149.8602,0.0,bottom
MX85,354.40875,-149.8602,0.0,bottom
MX86,378.22125,-149.8602,0.0,bottom
MX87,404.415,-149.8602,0.0,bottom
MX88,423.465,-149.8602,0.0,bottom
MX89,442.515,-149.8602,0.0,bottom
MX9,294.8775,-49.8473,0.0,bottom
R1,130.0961,-56.9911,180.0,bottom
R2,217.3918,-153.2698,180.0,bottom
R3,205.0518,-135.4698,180.0,bottom
R4,205.0618,-136.5398,0.0,bottom
R5,205.0718,-137.5698,0.0,bottom
R6,202.2218,-148.2798,0.0,bottom
R7,202.2218,-149.2798,180.0,bottom
R8,218.4618,-148.6498,45.0,bottom
S1,442.515,-49.8473,0.0,top
TP1,218.7418,-154.9073,0.0,bottom
TP2,202.8418,-136.3898,90.0,bottom
U1,127.0186,-57.8911,0.0,bottom
U2,201.4085,-141.0344,270.0,bottom
U3,210.8118,-147.4498,0.0,bottom
U4,201.6393,-153.4398,90.0,bottom
Y1,219.7018,-146.6298,45.0,bottom
